name_of_project,country,partner,grant,description
Challenging the Culture of Impunity for Past Atrocities,SERBIA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Humanitarian Law Center,50000,"To raise awareness about war crimes committed during the 1990s by high ranking public officials, journalists, and military leaders from Serbia, and contribute to the process of holding the perpetrators accountable. The organization will continue to gather information and evidence about individuals who have committed war crimes and use a variety of media â€“ including reports, an interactive website, and documentary films â€“ to pressure relevant state and international institutions to initiate criminal proceedings against them."
Encouraging Critical Thinking and Open Debate,SERBIA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Njuz.org,40000,"To raise public awareness of and debate on key issues facing Serbiaâ€™s democratic transition. The media organization will expand its popular multimedia portal that provides a forum for open discussion in an increasingly restricted media environment. The portalâ€™s nonpartisan videos and news pieces on political developments use humor and satire to reach and inform mass audiences. To encourage offline engagement with readers, the organization will hold debates on rule of law and democracy topics."
Encouraging Critical Thinking and Open Debate in Media,SERBIA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Hourglass,20000,"To foster public debate on key social, political, and economic topics related to Serbiaâ€™s democratic transition. As part of a popular multimedia program providing a forum for open discussion and commentary by prominent policymakers, civic and political leaders, journalists, and academic experts, the organization will produce video clips, radio shows, and original articles for the regionâ€™s leading political e-magazine."
Encouraging Debate on Euro-Atlantic Integration,SERBIA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Center for Euro-Atlantic Studies,50000,"To encourage debate on the countryâ€™s Euro-Atlantic integration and advocate for comprehensive security sector reform. The think tank will monitor the drafting, adoption, and implementation of Serbiaâ€™s new security strategy. It will convene consultations with officials to discuss possible amendments to the strategy, including provisions on democratic governance, transitional justice, and regional security cooperation. The think tank will produce a policy brief and promote its findings through consultations, media appearances, and an international event."
Encouraging Professional Media Reporting,SERBIA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Novi Sad School of Journalism,50000,"To encourage professional media reporting. The media organization will monitor prominent print, online, and televised media outlets. The nonpartisan projectâ€™s related website will publish articles and analytical reports on false reporting and disinformation in the media to generate public discussion regarding media standards. The NGOâ€™s media team will also train young journalists in fact-checking, media literacy, and ethical reporting."
Fostering Local Participation in Political Processes,SERBIA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Group for Conceptual Politics,26000,"To foster civic engagement in political processes and promote the accountability of local government institutions in Vojvodina. The group will hold community forums to encourage participation in local government and workshops to engage citizens in the oversight of public institutions. It will increase the impact of its activities through a multifaceted public outreach campaign, and will disseminate a report addressing recent government closures of spaces for civil society and civic activism."
Fostering Objective and Professional Reporting,SERBIA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Bureau for Social Research,50000,"To raise awareness about the quality of key media outletsâ€™ coverage of political affairs. Using a proven methodology, the media watchdog will carry out a comprehensive monitoring program and raise awareness about the objectivity and any political bias in key national outlets. The watchdogâ€™s team will track six broadcast outlets with national coverage and produce a comprehensive monitoring report on their behavior, with particular emphasis on monitoring the coverage of current political affairs."
Fostering Quality Reporting on Public Spending,SERBIA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Business Info Group,35000,"To foster improved reporting on public spending and promote fiscal transparency and accountability. The independent media group will produce in-depth investigations and analyses of accountability issues related to public financing and the economy. The group will feature the findings in articles written for its monthly print and online magazine, videos produced for its web and social media platforms, and public debates with experts and decision-makers."
Fostering the Accountability of Public Officials,SERBIA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Proactive,40000,"To foster greater public demand for the accountability of elected officials in south Serbia. Utilizing its interactive online platform, the organization will improve communication between parliamentarians and citizens, and strengthen the publicâ€™s role in decision-making processes. The multifaceted project will include an upgrade of the platform, a media campaign, video production, social media outreach, an awareness-raising campaign, and civic engagement activities."
Fostering Youth Engagement in Vojvodina,SERBIA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Youth Center CK13,30000,"To promote civic education and youth engagement in fostering the accountability of public officials in Vojvodina. The multifaceted program will provide a forum for public dialogue on sensitive issues facing youth in Vojvodina and will organize workshops, lectures, events, public debates, and other activities introducing young people to pro-democratic ideas. The group will also provide young people with the skills to engage constructively with the public officials in their local community."
Promoting Civic Oversight of the Security Sector,SERBIA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Belgrade Center for Security Policy,45000,"To promote civic oversight of the security sector and foster coalitions with other civic activists that advance the countryâ€™s democratic reforms. The think tank will monitor Serbiaâ€™s security reform process and document the ways in which political interference impedes the countryâ€™s democratic transition. To foster greater cooperation among democracy defenders, the think tank will host consultations with civil society organizations to develop joint initiatives promoting accountability within the security sector."
Promoting Independent Journalism in Southern Serbia,SERBIA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Simplicity Ltd.,43000,"To promote independent reporting and foster greater interaction between citizens, their elected officials, and political party representatives in southern Serbia. The organization will continue to complement the news and investigative reports of its popular online portal with nonpartisan multimedia content, including a video interview program, live debates with local and national officials, and a database featuring the profiles of local political figures."
Promoting Institutional Accountability,SERBIA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Balkan Investigative Reporting Network Serbia,42000,"To promote government transparency and accountability through investigative reporting. In addition to updating its flagship web platform, which currently hosts over a dozen databases related to monitoring corruption and misuse of official positions, the media organization will develop two new databases tracking the work of the government office responsible for public reconstruction projects in Serbia. It will use the information gathered to produce in-depth investigative pieces and illustrative multimedia programs."
Promoting Professional Digital Journalism,SERBIA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Slavko Curuvija Foundation,41000,"To promote professional reporting by enhancing the skills of promising young journalists and building the capacity of local media. The foundation will oversee a digital journalism school for local journalists that will equip them with knowledge and skills needed to produce quality reporting and analysis. The school will include an e-learning platform, in-person workshops, and ongoing mentorships. In addition, the foundation will further develop its web platform that builds the capacity of local outlets."
Promoting Public Debate ahead of Elections,SERBIA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Press Freedom Foundation,40000,"To foster open and constructive dialogue on challenges facing Serbiaâ€™s democratic transition, with particular emphasis on its northern province of Vojvodina, around the countryâ€™s 2020 parliamentary elections. The media outlet will maintain its web portal, podcasts, and print magazine that serve as a rare nonpartisan and bilingual forums for open discussion and leading sources of independent news on political accountability, elections, interethnic tension, nepotism, migration, minority rights, and other key issues."
Promoting Public Debate on Decentralization,SERBIA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Independent Journalistsâ€™ Association of Vojvodina,34000,"To foster public dialogue on key challenges facing Serbiaâ€™s democratic transition, with particular emphasis on the northern province of Vojvodina. The organization will organize public discussions and maintain its web portal that serves as a rare forum for open discussion and a key source of independent news on topics such as political accountability, elections, decentralization, constitutional reform, minority rights, and other issues important to citizens in Vojvodina and Serbia."
Promoting the Accountability of Elected Officials,SERBIA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,National Coalition for Decentralization,45700,"To promote electoral reform and the accountability of elected officials. Through a multifaceted campaign, the coalition will raise awareness about the need for changes in the countryâ€™s electoral system among citizens and decision-makers, and encourage them to support such reforms more actively. The nonpartisan campaign will include debates with parliamentarians and political party leaders, a series of videos, and a countrywide awareness raising initiative to promote public demand for political accountability ahead of the 2020 parliamentary and local elections."
Raising Awareness of State Corruption and Organized Crime,SERBIA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Crime and Corruption Reporting Network KRIK,40000,"To raise awareness about links between government corruption and organized crime. The group will conduct investigations into new cases of alleged corruption as well as monitor and produce follow-up articles on previously investigated or ongoing legal cases. The project will trace the connections between corruption in public institutions and organized criminal activity, and partner with other media and watchdog organizations to promote a culture of accountability."
Supporting Youth Engagement in Eastern Serbia,SERBIA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Zajecar Initiative,49000,To promote youth civic engagement in eastern Serbia. The initiative will assist high school student parliaments in advocating for local youth issues and greater youth civic participation at the local level. It will organize civic education workshops and support student parliaments in the Timok region as they assist local youth in becoming more engaged in their communities and more knowledgeable about democratic values and good governance.
Advancing the Process of Transitional Justice,Southeastern Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Documenta â€“ Center for Dealing with the Past,50000,"To promote a better understanding of war crimes committed on the territory of former Yugoslavia in the 1990s. In partnership with five regional organizations, the Croatia-based group will continue its activities to complete a comprehensive, credible, and commonly agreed upon source of information about the number, identity, and fate of war victims in the former Yugoslavia. The group will organize a series of regional meetings and presentations of its findings in Croatia."
Consolidating the Power of Independent Trade Unions to Promote Democratic and Equitable Development,Southeastern Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Solidarity Center (SC),628000,"To strengthen freedom of association and develop more inclusive models of workplace democracy in Southeast Europe. The center will strengthen and enhance the capacity of trade unions to engage civic partners and other local actors in promoting freedom of association and expanding trade union representation to include youth and other marginalized groups of workers. In Serbia, Albania, Bosnia and Herzegovina and Montenegro, the center will support activities that expand collective bargaining, encourage membership outreach, and extend union membership."
Encouraging Critical Thinking and Debate,Southeastern Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Remarker,60000,"To foster public debate on social, political and cultural topics impacting the regionâ€™s democratic transition. The Serbia-based independent outlet will develop its multimedia portal that provides a forum for public discussion and commentary by civic and political leaders, human rights activists, and journalists. To expand dialogue on sensitive and controversial issues facing the region, the outlet will scale up the production of its multimedia content and develop partnerships with other key portals in Southeast Europe."
Encouraging Critical Thinking and Open Debate,Southeastern Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Hourglass,60000,"To foster public debate on key social, political, and economic challenges facing Southeast Europe. As part of a multimedia program providing a forum for public discussion and commentary by prominent policymakers, civic and political leaders, journalists and academic experts, the organization will produce video clips, radio programs, and articles for the regionâ€™s leading political e-magazine. In cooperation with other NED partners, the organization also will translate articles from leading global media outlets to counter disinformation."
Encouraging Professional Media Reporting,Southeastern Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Center for Media Development and Analysis,60000,"To raise public awareness regarding foreign malign influence and to counter disinformation. The Bosnia and Herzegovina-based media organization will expand its popular investigative reporting portal to identify and spotlight cases of foreign malign influence in Southeast Europe, and increase access to fact-based stories and analyses. It will publish the investigative stories and related multimedia content on its web platform and social media pages and offer the content to other regional media outlets free of charge."
Enhancing Electoral Integrity,Southeastern Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,National Democratic Institute for International Affairs (NDI),375000,"To strengthen the capacity of civil society and political parties in Albania, Bosnia and Herzegovina, North Macedonia, and Serbia to promote electoral transparency, fair competition, and accountability. The institute will foster collaboration and knowledge sharing on strategies to enhance electoral integrity among civil society in the target countries. The program will include regional and in-country programming, including training, on public outreach and advocacy strategies, the development of electronic electoral observation resources, internal party and electoral reforms, and peer-learning."
Fostering Crossborder Dialogue and Civic Engagement,Southeastern Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Heartefact Fund,59000,"To foster crossborder dialogue and civic engagement in the Western Balkans. The Serbia-based organization will launch a regional civic education program to enhance cooperation between young people in Kosovo and Serbia, particularly those who are prejudiced towards their peers of different backgrounds and who hold biased views regarding the regionâ€™s recent past. The program will include study visits designed to stimulate broader crossborder communication and cooperation in addressing common problems facing their post-conflict societies."
Fostering Improved Media Standards,Southeastern Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,"Today is A New Day, Institute for Other Studies",59000,"To foster improved media standards and promote high-quality news content that counters disinformation. The Slovenia-based organization will work with a pioneering debunking team from Bosnia and Herzegovina to develop a monitoring tool for regional news that covers media in the Bosnian, Croatian, and Serbian languages. The project will increase the diversity of consumed media, offer a variety of news coverage on key topics, and provide tools to identify and filter out media bias."
Fostering Improved Media Standards,Southeastern Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Transitions Online,169000,"To improve media standards and counter disinformation in Southeast Europe. The Czech organization will partner with media groups in six countries to provide young journalists and journalism students with needed skills and tools to understand and counter disinformation, which they will employ to produce articles exposing and challenging distorted media content. To raise awareness about the quality of media reporting, the program will engage senior journalists to produce reviews analyzing and highlighting examples of good and poor journalism in their countries."
Fostering Improved Media Standards,Southeastern Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Transitions Online,128000,"To improve trust in quality journalism and strengthen confidence in professional watchdog media playing a key role in struggling democracies. The Czech media organization will promote the new genre of solutions journalism and build the skills of journalists in Southeast Europe to produce quality and impactful content on pressing political and social issues. Together with three local partners, the organization will carry out awareness raising events, hold trainings and workshops, and provide stipends to journalist to produce related content."
Fostering Improved Media Standards,Southeastern Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Why Not?,114000,"To foster improved media standards and promote access to objective news and analysis that counter disinformation and challenge illiberal narratives. The Bosnia-based organization will work with other regional fact-checking, watchdog, and investigative reporting groups in Serbia, Montenegro, and North Macedonia to analyze and spotlight disinformation, examine trends regarding misinformation, and increase access to objective news and analyses. The partners will publish the analysis and content on country-specific versions of a common regional online platform."
Fostering Regional Cooperation among Youth Political Leaders,Southeastern Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Youth Initiative for Human Rights â€“ Croatia,"Supplement: $25,000","To encourage cooperation between young political leaders from the Western Balkans and enable them to play a greater role in promoting democratic values, human rights, and reconciliation in their countries. Through nonpartisan meetings and advocacy campaigns, the Croatia-based youth organization will bring together promising young leaders from 37 political parties in six countries, exposing them to rarely discussed topics in their parties, and strengthen and expand the regional network that facilitates their regular communication and cooperation."
Fostering Tolerance and Understanding Among Youth,Southeastern Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Association Perspektiva Plus,275000,"To foster tolerance and marginalize extremist voices among youth by encouraging discussion on sensitive and divisive issues facing the Western Balkans and the world. A weekly television series produced in Bosnia and Herzegovina will challenge youth in the region and beyond, especially those in deeply divided or vulnerable communities, to reexamine their beliefs and stereotypes, question illiberal narratives, and explore issues related to extremism and radicalization. A dedicated web platform will feature the materials in local languages as well as English and Arabic."
Political Party Integrity,Southeastern Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,National Democratic Institute for International Affairs (NDI),681000,"To assist representatives of political parties for Southeast Europe in strengthening internal mechanisms that promote political integrity. The institute will gather party leaders within each ideological family â€“ Conservative, Liberal, and Social Democratic â€“ to promote internal reforms that increase public transparency and accountability. The institute will complement this technical assistance with both regional and in-country programming that supports parties in strengthening their internal democratic practices to bolster inclusive decision-making within the party."
Promoting Accountability through Independent Reporting,Southeastern Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,NGO â€œ35mmâ€,50000,"To foster independent reporting and promote the accountability of public officials. The Montenegro-based media organization will partner with leading regional media outlets to produce regionally-focused episodes of a unique television program featuring social, economic, and political themes. Leading national stations will air the program, and media partners will promote it on their online portals. The programs will contribute to ongoing debates on key issues relating to accountability and the regionâ€™s democratic transition."
Promoting Accountability Through Regional Cooperation,Southeastern Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,GONG,"Supplement: $35,000",To promote innovative use of new technologies to enhance political accountability in Southeast Europe. The Croatia-based organization will expand its production of monitoring and analytical features that improve standards of democratic political culture and provide the public with opportunities to learn more about the performance of their politicians and elected officials. The nonpartisan organization will organize meetings with two regional accountability organizations to facilitate learning from leading international accountability experts.
Promoting Accountability through Regional Cooperation,Southeastern Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,"Today is A New Day, Institute for Other Studies","Supplement: $45,000","To promote the transparency, accountability, and efficiency of legislative bodies in Bosnia and Herzegovina and Croatia. The Slovenia-based organization will assist leading watchdog groups in the target countries to gather, analyze, and publicize parliamentary data more effectively. The projectâ€™s interactive, user-friendly, and nonpartisan platforms will facilitate data-driven political journalism and civil society initiatives that monitor parliamentary sessions, document proceedings, track legislative processes and trends, and spotlight the performance of MPs."
Promoting Anticorruption Mechanisms,Southeastern Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Center for the Study of Democracy and Governance,72000,"To strengthen a regional network of anticorruption groups and build membersâ€™ capacity to foster accountability in Southeastern Europe. The Albania-based organization will coordinate a regional initiative dedicated to strengthening the legal rights of whistleblowers, and will facilitate its membersâ€™ efforts to generate political and public support for whistleblower laws and mechanisms, investigate whistleblower disclosures and cases, provide advice and assistance to whistleblowers, and enhance public perceptions of whistleblowing as an effective anticorruption and accountability tool."
Promoting Crossborder Independent Journalism,Southeastern Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Simplicity Ltd.,75000,"To build the capacity of independent media in Bosnia and Herzegovina and promote crossborder media cooperation. The Serbia-based organization will identify the specific needs of Bosnian media outlets, and provide them with technical upgrades, revenue diversification models, outreach support, and new content formats to strengthen their resilience to political pressure and bolster editorial independence. Crossborder content exchanges will contribute to ongoing debates about the regionâ€™s democratic transition, governance challenges, and the rule of law."
Promoting Democratic Values and Reforms,Southeastern Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Sbunker,35000,"To foster new policy approaches to promoting democratic values and strengthening democratic institutions in Southeast Europe. The Kosovo-based organization will identify and mobilize a group of democratization experts in six Western Balkan countries to produce single-country and regional assessments of the current state of democracy and corresponding civic responses, as well as recommendations for potential new approaches and instruments to address the identified challenges"
Promoting Dialogue and Historical Understanding,Southeastern Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Humanitarian Law Center Kosovo,50000,"To foster dialogue and historical understanding among youth, and build a stronger culture of remembrance, in the region. The Kosovo organization will facilitate interactive workshops to introduce high school and university students to concepts of transitional justice and facts about war crimes committed in the recent past. It will organize study visits to its documentation center and a multiethnic school promoting transitional justice. Hands-on workshops will promote dialogue and historical understanding among young professionals from Southeast Europe."
Promoting Minority Issues through Online Media,Southeastern Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Serb National Council,80000,"To sustain a network of independent online media outlets and enable it to create and disseminate unique content related to minority rights in Bosnia and Herzegovina and Croatia. Two leading online portals from Zagreb and Mostar will produce and exchange articles examining key political and social developments affecting minorities in the two countries. The content will promote minority issues and encourage public debate on the status of minorities, while expanding the portalsâ€™ reach and impact."
"Promoting Responsible Economic Policies, Phase II",Southeastern Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Center for International Private Enterprise (CIPE),270951,"To improve access to objective information on responsible economic policies among key partners in Bosnia and Herzegovina (BiH) and Serbia. The center will enhance local civil society organizationsâ€™ outreach capacities to advance democratic and market values. In BiH, the center will assist partners in advocacy and outreach on pro-reform measures. In Serbia, it will support a new media platform providing access to objective information and analysis on economic reform issues. In both countries, the center will engage the private sector in reform processes."
Promoting Youth Activism and Solidarity among Youth,Southeastern Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Youth Initiative for Human Rights â€“ Serbia,100000,"To promote greater youth participation in developing coordinated responses to challenges facing democracy in the Western Balkans. The 2019 edition of a biannual Youth Summit, to be held in Skopje, North Macedonia, will bring together prodemocratic youth activists from the Western Balkans with their counterparts in established and emerging democracies to promote cooperation and solidarity. The Summit will include panel discussions, workshops, and related events that will produce policy recommendations and concrete plans for future cooperation."
Raising Awareness of Malign Foreign Influence in the Balkans,Southeastern Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Prague Security Studies Institute (PSSI),78000,"To understand and raise awareness of foreign malign influences undermining democratic transitions in Southeast Europe. Working with local partners, the Czech think tank will identify, analyze, and publicize Russian, Chinese, Turkish, and the Gulf Statesâ€™ sharp power in the Western Balkans. It will present its findings and recommendations to local and international experts, civil society, the media, and the public through thematic studies, a final report, and a roundtable."
Strengthening Public Support for Human Rights in Bulgaria and Macedonia,Southeastern Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Bulgarian Helsinki Committee,87000,"To increase public support and consolidate a constituency for human rights and democracy in Bulgaria and Macedonia. The Sofia-based organization will work with its counterpart in Skopje to expand the support base for human rights work, improve cooperation between human rights and democracy supporters, forge new public outreach strategies, and improve the response of civil society to antidemocratic campaigns in the two countries. The project will create national online platforms and organize events engaging youth leaders, public intellectuals, and democracy advocates."
Strengthening the Institutional Integrity and Independence of Western Balkan Legislatures,Southeastern Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,National Democratic Institute for International Affairs (NDI),355000,"To strengthen the institutional integrity of parliaments to fulfill their legislative and representative functions. The institute will facilitate regional dialogue among parliamentary leaders to develop strategies and apply measures to address challenges in their respective legislatures. It will foster parliamentsâ€™ institutional independence through professional services and resource development, and will support collaboration and resource sharing in lawmaking and oversight among members and staff of parliaments in the Western Balkans and with experts from European Union member legislatures."
Understanding and Preventing Anti-Western and Religious Extremist Influence,Southeastern Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,International Republican Institute (IRI),690000,"To counter violent extremism and malign foreign influence in the Western Balkans. The institute will expand its task force and empower regional actors to implement targeted interventions in Bosnia and Herzegovina, Kosovo, North Macedonia, Montenegro, and Serbia. The interventions will include measures to boost resilience to threats to the regionâ€™s democratic development. The institute will also enhance the understanding of malign foreign influence among young political leaders in Montenegro and develop officialsâ€™ ability to counter threats to the countryâ€™s democracy."
Understanding and Responding to Foreign Malign Influence,Southeastern Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Center for the Study of Democracy,131000,"To understand, raise awareness of, and respond to external attempts to undermine democracy and reverse democratic gains in Southeast Europe. The Bulgarian think tank will partner with local experts in seven countries in the region to analyze foreign malign interference in local media, raise awareness of the media outlets and channels used to exert economic and political influence, and provide recommendations to strengthen the resilience of democratic institutions."
Understanding and Responding to Foreign Malign Influence,Southeastern Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,European Values,55500,"To understand, raise awareness of, and respond to foreign attempts to undermine democracy and reverse democratic gains in Southeast Europe. The Czech think tank and its Hungarian partner will work with local experts in three Balkan countries to monitor and analyze disinformation in the media, raise awareness of the tools and channels used to disseminate false narratives, and provide recommendations to strengthen the resilience of media, democratic institutions, and civil society in the region."
Understanding and Responding to Foreign Malign Influence,Southeastern Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Political Capital Kft. Ltd.,63000,"To understand, raise awareness of, and respond to external attempts to undermine democracies and reverse democratic gains in Southeast Europe. The Hungarian think tank and its Czech counterpart will partner with local experts in three Balkan countries to analyze foreign malign interference in the regionâ€™s political, economic, social, and media spheres; raise awareness of the tools and channels used to exert harmful political and economic influence; and provide recommendations to strengthen the resilience of democratic institutions."
Using New Media to Promote Government Transparency,Southeastern Europe Regional 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Center for Democratic Transition,52000,"To promote government transparency and accountability in Southeast Europe. The Montenegro-based organization will work with three leading watchdog groups using new technologies in Bosnia and Herzegovina, North Macedonia, and Serbia to develop further a regional online database that allows in-country and country-to-country comparisons of the openness, accountability, and reform capacities of the legislative and executive branches of government in the four countries. The project will include regular monitoring, interactive data graphics, and a regional event."
Advocating Business Priorities,UKRAINE 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Center for International Private Enterprise (CIPE),520000,"To improve public access to information about government spending, and to enhance civil society and private sector demand for open and accountable governance. The center will support activities that promote open governance, including national budget monitoring, process-tracing foreign capital flows in public works projects, advocacy around open data policies, and targeted outreach to community groups â€“ including business organizations, to communicate its findings and outline reforms that address identified governance gaps."
Conflict Prevention in Southern Ukraine,UKRAINE 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Association of Middle East Studies,54000,"To mitigate conflict in southern Ukraine. The organization will carry out research, assess the potential for conflict in southern Ukraine, and engage the expert community and government officials in discussions regarding the regionâ€™s unstable situation. It will also hold trainings to equip local leaders with the skills necessary to foster dialogue and carry out mediation in the regionâ€™s local communities."
Fostering Independent Media in the Donbas,UKRAINE 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Donetsk Institute of Information,45000,"To foster independent media in eastern Ukraine. The organization will monitor media in the separatist-controlled areas, produce news, articles, and analytical reports on developments in the region, publish them on its websites, and distribute them via an email newsletter. It will also produce and broadcast editions of its weekly television show, and promote it through video clips on social media."
Fostering Local Reforms in Ukraineâ€™s Regions,UKRAINE 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Education for Democracy Foundation,60000,"To promote and facilitate the implementation of decentralization reforms at the local level. In cooperation with Ukrainian partners, the Poland-based organization will work with local officials and activists to improve governance in 16 communities from four key regions â€“ Khmelnytskyi, Zaporizhya, Zhytomyr, and the Donbas. It will conduct trainings, organize a study visit to Poland, and oversee a small grants competition."
Improving Local Government in Western Ukraine,UKRAINE 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Rivne Social Partnership Center,35000,"To increase the skills of local elected officials and improve governance in western Ukraine. The organization will train a diverse group of candidates running for local office in the Rivne and Volyn regions. The nonpartisan trainings will focus on promoting effective local administration under the countryâ€™s new decentralization process, equipping candidates to better serve their communities, and developing improved communications strategies. The organization will also conduct a nonpartisan voter information campaign."
Improving Political Party Communication with Members and Citizens,UKRAINE 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,National Democratic Institute for International Affairs (NDI),400000,To support political parties to become more effective and representative institutions. The institute will work with party activists to disseminate best practices in citizen outreach upwards through parties. It will support regional party forums that will contribute to more inclusive party decision-making and share successes. Training for party secretariats and the introduction of internal polling methods will embed participatory processes within parties. The institute will also provide consultations on improving communication between party leaders and their members in parliament.
Improving the Independent Mediaâ€™s Coverage of Reforms,UKRAINE 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,European Pravda,60000,"To improve the quality of national and regional independent media coverage of reform processes. In an important election year, the media outlet will produce news and analytical items focusing on democratic reforms for its popular website. It will also strengthen partnerships with regional media outlets by providing them with its content for free, thereby increasing their readersâ€™ interest in and understanding of complex aspects of pro-European democratic reforms."
Increasing Accountability in Western Ukraine,UKRAINE 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Ecosphera,35000,"To increase the transparency, accountability, and civic oversight of the use of natural resources in the Zakarpattia region. The watchdog organization will oversee a network of civic activists to monitor, document, and counter corruption in managing state-run forests. It will submit evidence of illegal logging to law enforcement and track any resulting criminal proceedings. The organization will also hold trainings and produce materials to assist local activists in establishing their own monitoring groups."
Increasing Democratic Resilience and Social Cohesion,UKRAINE 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Chatham House (The Royal Institute of International Affairs),65000,"To strengthen the resilience of Ukraineâ€™s democratic institutions. The London-based think tank will examine Ukraineâ€™s vulnerabilities to foreign malign influence and propose strategies and policy recommendation to state institutions and civil society to increase resilience. Building on previous research, the think tank will conduct in-depth studies on previously identified vulnerable areas, consult with civil society and government experts across Ukraine, publish and distribute a policy brief, and convene outreach events."
Increasing the Capacity of New Political Leaders in Ukraine,UKRAINE 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,European Institute for Democracy,"Supplement: $55,000","To increase the skills of new political leaders. The Poland-based organization will assist local leaders from Zhytomir, Boguslav, and Ternopil to improve their communities through study trips to Poland and expert visits of Polish experts to Ukraine. It will assist the participants in drafting and executing community action plans to address local problems, produce promotional materials to showcase success stories, plan nonpartisan campaigns for the 2020 local elections, and share project results and recommendations."
Increasing the Capacity of Regional Media,UKRAINE 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Dirigible,80000,"To build the capacity and outreach of regional media. The organization will identify newly privatized media outlets from small and medium-sized towns and assist them in developing, launching, maintaining, and promoting online portals. It will also conduct trainings for the outletsâ€™ newsrooms and provide mentorship support to assist them in producing independent high-quality content. Finally, the organization will develop innovative strategies aimed at increasing the financial sustainability of participating outlets."
